 release_year |                                                                            title                                                                             |    budget    
         2013 | Rise of the Zombie (2013)                                                                                                                                    |    500000.00
         2013 | Self Storage (2013)                                                                                                                                          |   1000000.00
         2013 | Slaughter Creek (2011)                                                                                                                                       |   1000000.00
         2013 | Solid State (2012)                                                                                                                                           |    300000.00
         2013 | Spiders 3D (2013)                                                                                                                                            |   7000000.00
         2013 | The Cloth (2013)                                                                                                                                             |   4000000.00
         2013 | The Dead Matter (2010)                                                                                                                                       |   2000000.00
         2013 | The Final (2010)                                                                                                                                             |   1000000.00
         2013 | The Haunting in Connecticut 2: Ghosts of Georgia (2013)                                                                                                      |   9000000.00
         2013 | The House at the End of Time (2013)                                                                                                                          |    300000.00
         2013 | The Last Days (2013)                                                                                                                                         |   5850000.00
         2013 | The Last Vampyre on Earth (2013)                                                                                                                             |   1000000.00
         2013 | The Taking (2013)                                                                                                                                            |     13000.00
         2013 | The Vatican Exorcisms (2013)                                                                                                                                 |   1100000.00
         2013 | Truth or Dare (2013)                                                                                                                                         |    165000.00
         2013 | Unlucky Charms (2013)                                                                                                                                        |    500000.00
         2013 | World War Z (2013)                                                                                                                                           | 190000000.00
         2013 | Wrath of the Crows (2013)                                                                                                                                    |    500000.00
         2013 | You're Next (2011)                                                                                                                                           |   1000000.00
         2013 | Zombie Hunter (2013)                                                                                                                                         |   1000000.00
         2012 | 2: Voodoo Academy (2012)                                                                                                                                     |   1000000.00
         2012 | ATM (2012)                                                                                                                                                   |   3000000.00
         2012 | An American Ghost Story (2012)                                                                                                                               |     10000.00
         2012 | Bad Blood (2012)                                                                                                                                             |    900000.00
         2012 | Beneath the Darkness (2011)                                                                                                                                  |   7300000.00
         2012 | Big Bad Bugs (2012)                                                                                                                                          |   1000000.00
         2012 | BloodRayne: The Third Reich (2011)                                                                                                                           |  10000000.00
         2012 | Butcher Boys (2012)                                                                                                                                          |   1500000.00
         2012 | Chernobyl Diaries (2012)                                                                                                                                     |   1000000.00
         2012 | Christmas with the Dead (2012)                                                                                                                               |   1500000.00
         2012 | Cut/Print (2012)                                                                                                                                             |   1000000.00
         2012 | Dark Shadows (2012)                                                                                                                                          | 150000000.00
         2012 | Detention (2011)                                                                                                                                             |  10000000.00
         2012 | Donner Pass (2011)                                                                                                                                           |    800000.00
         2012 | Grabbers (2012)                                                                                                                                              |   5280000.00
         2012 | Horrorween (2011)                                                                                                                                            |  10000000.00
         2012 | House of Horrors: Gates of Hell (2012)                                                                                                                       |     10000.00
         2012 | It's in the Blood (2012)                                                                                                                                     |   3000000.00
         2012 | Kill Zombie! (2012)                                                                                                                                          |    585000.00
         2012 | Lovely Molly (2011)                                                                                                                                          |   1000000.00
         2012 | Nine Miles Down (2009)                                                                                                                                       |  22000000.00
         2012 | No Tell Motel (2012)                                                                                                                                         |   3000000.00
         2012 | Outpost: Black Sun (2012)                                                                                                                                    |   3000000.00
         2012 | Paranormal Activity 4 (2012)                                                                                                                                 |   5000000.00
         2012 | Piranha 3DD (2012)                                                                                                                                           |   5000000.00
         2012 | Reclusion (2012)                                                                                                                                             |     10000.00
         2012 | Red Lights (2012)                                                                                                                                            |  16380000.00
         2012 | Rogue River (2012)                                                                                                                                           |   2000000.00
         2012 | Saint Dracula 3D (2012)                                                                                                                                      |   5000000.00
         2012 | Silent House (2011)                                                                                                                                          |   2000000.00
         2012 | Sinister (2012)                                                                                                                                              |   3000000.00
         2012 | Snow White: A Deadly Summer (2012)                                                                                                                           |   1000000.00
         2012 | Specter (2012)                                                                                                                                               |   3000000.00
         2012 | The Chrysalis (2012)                                                                                                                                         |   2000000.00
         2012 | The Collection (2012)                                                                                                                                        |  10000000.00
         2012 | The Devil Inside (2012)                                                                                                                                      |    750000.00
         2012 | The Divide (2011)                                                                                                                                            |   3000000.00
         2012 | The Flaying (2012)                                                                                                                                           |     10000.00
         2012 | The House of the Devil (2009)                                                                                                                                |    900000.00
         2012 | The Innkeepers (2011)                                                                                                                                        |    750000.00
         2012 | The Reverend (2011)                                                                                                                                          |   1000000.00
         2012 | The Summer of Massacre (2012)                                                                                                                                |    750000.00
         2012 | The Tall Man (2012)                                                                                                                                          |  18200000.00
         2012 | The Thompsons (2012)                                                                                                                                         |   3000000.00
         2012 | The Tortured (2010)                                                                                                                                          |   8500000.00
         2012 | The Watermen (2012)                                                                                                                                          |   1150000.00
         2012 | Truth or Die (2012)                                                                                                                                          |   1000000.00
         2012 | Twixt (2011)                                                                                                                                                 |   7000000.00
         2012 | Vamperifica (2012)                                                                                                                                           |   1000000.00
         2012 | War of the Dead (2011)                                                                                                                                       |   1170000.00
         2012 | You're Nobody 'til Somebody Kills You (2012)                                                                                                                 |   1000000.00
         2011 | 23:59 (2011)                                                                                                                                                 |    600000.00
